relative_path,kind,size_bytes,sha256
source_data/original_data/MAGE-Graph/output_1096/graph/full_output.json,text-data,160861,12d85ba9b82830b137443b043b3e642ca9dc8d7789953eea24074584456b5b00
source_data/original_data/MAGE-Graph/output_1097/graph/full_output.json,text-data,296727,aa6c57cc003790724b882bdf15ababd8fb025dbc6ee4e1e90b44e0ba4ae4354b
source_data/original_data/MAGE-Graph/output_1098/graph/full_output.json,text-data,112259,35f8af8fb5de9ccd0e5d4d5f8f4f3acbd215ce96fa58462714fceb83cb1f1de2
source_data/original_data/MAGE-Graph/output_1099/graph/full_output.json,text-data,373327,e3f40750b3cbc5fd4e7ee9ea6c7cdae9d05a302bd82ae5add85358927b0c662a
source_data/original_data/MAGE-Graph/output_11/graph/full_output.json,text-data,178965,d18ab5ba8d2c307eda902b703350f5dc21f22a5f6c55c78939c02d63a28b5f05
source_data/original_data/MAGE-Graph/output_110/graph/full_output.json,text-data,107768,440b45c177c72962b52e10df00609ee1f315b35203fc49b7d975431862e9bb46
source_data/original_data/MAGE-Graph/output_1100/graph/full_output.json,text-data,106401,14ac8e2f383534869063455e198c0bb7458c4255796a3fbef0cb026d86119d19
source_data/original_data/MAGE-Graph/output_1101/graph/full_output.json,text-data,197573,0e5adde952ee881835955d17a9956e1725faadb4212806804c24b6e8a1cfd671
source_data/original_data/MAGE-Graph/output_1102/graph/full_output.json,text-data,147338,38960ef27a69bdfdf8141cd86152f38ea0989d3e713dec9a907faca96403f98a
source_data/original_data/MAGE-Graph/output_1103/graph/full_output.json,text-data,145780,6363a3cb503debae532e3be51bc48716e9dd80928364ce70150ea2f72fffdf1c
source_data/original_data/MAGE-Graph/output_1104/graph/full_output.json,text-data,165421,e49e19075dc6ed5c123f1cbd088875ff7a26b76a1d2dbc214d0e3336ba6e29c9
source_data/original_data/MAGE-Graph/output_1105/graph/full_output.json,text-data,195992,17ebb6a92323ea06554b43fef334ab3e4554d2766d3d8a3890f9e91616504a33
source_data/original_data/MAGE-Graph/output_1106/graph/full_output.json,text-data,157386,29d6f1813d82694da61939b28aeaea8475aa7ac1383c628331fe86d819c98b2f
source_data/original_data/MAGE-Graph/output_1107/graph/full_output.json,text-data,138099,529a5dace66cc6d105cb7cd7175a0ef8c5bfed240b8f876fb5254a24d90d8d52
source_data/original_data/MAGE-Graph/output_1108/graph/full_output.json,text-data,150314,6115a5e3a743fa578aac16a18b0cb014acbaa2b7187824ae08304832080c49f8
source_data/original_data/MAGE-Graph/output_1109/graph/full_output.json,text-data,133419,8330856caf28e921f800f956e51cfee916e65f6f66704fd582f019dde9a2161f
source_data/original_data/MAGE-Graph/output_111/graph/full_output.json,text-data,210349,a7af168310d3f124630a1f9ea812793cbef21e2a5263d9b63fdff6d091eb3a93
source_data/original_data/MAGE-Graph/output_1110/graph/full_output.json,text-data,193142,cce8817ff181994c3c616c9e284523a1e07e1d676db1c893101cc072e95e91df
source_data/original_data/MAGE-Graph/output_1111/graph/full_output.json,text-data,150167,b41f78d0b1459f860b046d75a5d4ec52372884886e6e70833ff301297b69530f
source_data/original_data/MAGE-Graph/output_1112/graph/full_output.json,text-data,492939,0443b4f96c405de7e72adc5c770b12eeb6a8155c3a099b68cd05e0f2ffaddf22
source_data/original_data/MAGE-Graph/output_1113/graph/full_output.json,text-data,269351,5ade449792830fbd2c11f24734084e8b8443925f8a4c602b7cc2439dc5e88083
source_data/original_data/MAGE-Graph/output_1114/graph/full_output.json,text-data,218914,08bdb0563480729a2b15d889df93c2a451e3ab4f071c85fdb9a4a147d1399662
source_data/original_data/MAGE-Graph/output_1115/graph/full_output.json,text-data,530899,3bd49cc1b98272555cf2c7db81fcf6533e113764b55bf3a3a7214916dfb42224
source_data/original_data/MAGE-Graph/output_1116/graph/full_output.json,text-data,126880,33a30eebaed7c8c9b8cb37f5a5794d43a0ba911c504598e59ca323e1a0636de6
source_data/original_data/MAGE-Graph/output_1117/graph/full_output.json,text-data,102327,d9b9d514df6dc75b71ec1cc50f6f356b77dbf022b0e6ce4e006f922bd34b8c2f
source_data/original_data/MAGE-Graph/output_1118/graph/full_output.json,text-data,124867,aac9d48183eca19ccafae199f744766f526ccc4158b6e9e34938ab07b31b6e62
source_data/original_data/MAGE-Graph/output_1119/graph/full_output.json,text-data,170001,d77813082ab8f25221dd80d075150707f11787ddf94ee6dc96d6cd922d884986
source_data/original_data/MAGE-Graph/output_112/graph/full_output.json,text-data,45525,83b64a99aaf370bc251f9b1452c31444fd74dd817841981429f309f139d7aa9a
source_data/original_data/MAGE-Graph/output_1120/graph/full_output.json,text-data,117406,48b5e2d1661626bc6820bd83ca99a95d433d06ff721af4276de8a718499bd70c
source_data/original_data/MAGE-Graph/output_1121/graph/full_output.json,text-data,269415,23cdf7408c26986db87d79145711bc12c959b23db7d5369eb1f1a4f627d2cab2
source_data/original_data/MAGE-Graph/output_1122/graph/full_output.json,text-data,134074,dc1250152a073a03643c96d80c3ca56e1313693793aa9fdf2de4dd22a054923b
source_data/original_data/MAGE-Graph/output_1123/graph/full_output.json,text-data,158296,db75f5a1f83a6a3b24b739668fd057dfec7df3b99e1e191c8283c4484990d8a3
source_data/original_data/MAGE-Graph/output_1124/graph/full_output.json,text-data,221681,5fcb980f96599fa0a557af774434d0a87f09440d930762b6ff46de14cebac6dd
source_data/original_data/MAGE-Graph/output_1125/graph/full_output.json,text-data,211506,398fb352cf5b53a5424108a420c097b0243de6c69f93bebc733aed9ccf1e6df8
source_data/original_data/MAGE-Graph/output_1126/graph/full_output.json,text-data,136052,63364e7d7fd248cfa05a1bd4dee4c922c89e77586429a8e685526ab8ec5da790
source_data/original_data/MAGE-Graph/output_1127/graph/full_output.json,text-data,123124,ec970144838c1a45070cb130ceb857b160b7eec18a78fa55eb429ef36a6ce0bb
source_data/original_data/MAGE-Graph/output_1128/graph/full_output.json,text-data,142897,16f614d8a16809a89323cccba1b0a43c7328939a87876dc7a4030908f354b994
source_data/original_data/MAGE-Graph/output_1129/graph/full_output.json,text-data,201206,ebce8c616a6cfa601c68e175a40a15bdbd457b1e5b55f7468bd4acc6e476048a
source_data/original_data/MAGE-Graph/output_113/graph/full_output.json,text-data,55805,befb6900e8c2231fc52915fd65176dcd7cdf93117a8b48248b5e1a3f9da0964b
source_data/original_data/MAGE-Graph/output_1130/graph/full_output.json,text-data,310047,a2ce220a4470a478d70f474d5be0f946d07309166847cffbf37a957a9c2c31f7
source_data/original_data/MAGE-Graph/output_1131/graph/full_output.json,text-data,156106,ed0dcf1491a5d2688a7b59eb1102e6d535209cc2f70241a2aac14b73c49f05fe
source_data/original_data/MAGE-Graph/output_1132/graph/full_output.json,text-data,143792,20ef699b4dcc0bc238b73639df5b04cc635ef95ba0786c8e26cbdd55b9011830
source_data/original_data/MAGE-Graph/output_1133/graph/full_output.json,text-data,172557,550c06303305fb86932f0c2e6cc450d4a2520afbd1d04c488bc4822c6f29cc23
source_data/original_data/MAGE-Graph/output_1134/graph/full_output.json,text-data,185305,eec40acf180017139260c85470fc41a4e7a79e8be987714fe2ae9560ad2f865e
source_data/original_data/MAGE-Graph/output_1135/graph/full_output.json,text-data,228919,0d6cae6878b0072ef65700ab4ee949b4e2ce2e53c791df94daef336b174365cf
source_data/original_data/MAGE-Graph/output_1136/graph/full_output.json,text-data,189913,d731b9d864fd4293f8a855b1fca004756d1260bf55093addcf52715dd1756c9e
source_data/original_data/MAGE-Graph/output_1137/graph/full_output.json,text-data,237732,ae623be9cb4c78e3cfb34fc7982bb38aac0f4495220a72038b25a3f475320d71
source_data/original_data/MAGE-Graph/output_1138/graph/full_output.json,text-data,152731,cc4477ac0542e7926d9ac41234019e2f12384a9940df336b4890ef4b09facd93
source_data/original_data/MAGE-Graph/output_1139/graph/full_output.json,text-data,158423,46cfe861799b70cd5078f937cf1aa2bc747730470c131c1600468b06ed6a3a95
source_data/original_data/MAGE-Graph/output_114/graph/full_output.json,text-data,151676,f859fba4fe99b1124688fab0959c297f0def8362182fcab7ad05faff3548d33c
source_data/original_data/MAGE-Graph/output_1140/graph/full_output.json,text-data,159485,d85cd419b44c0649c9f8c75d3db903aca83ff6e55bafe0ed2c574abac8e243bb
source_data/original_data/MAGE-Graph/output_1141/graph/full_output.json,text-data,139585,fd9cbaad91f57017794919024b8d2758360da26c52547c6d965b4bd4f78eabba
source_data/original_data/MAGE-Graph/output_1142/graph/full_output.json,text-data,147320,c2feee64bf418b7f6a65af7bceb53c95b818003ecdba2049b4bf549dc91e7a07
source_data/original_data/MAGE-Graph/output_1143/graph/full_output.json,text-data,161656,1a2bc581b6eaf7578827574836a1f5562e84ab761f4d938ba6f326452e67668e
source_data/original_data/MAGE-Graph/output_1144/graph/full_output.json,text-data,201348,a2f33b49ba42ecdcf7e1ffd42fb7926909fe4196721063c45bad94bc00948eb3
source_data/original_data/MAGE-Graph/output_1145/graph/full_output.json,text-data,160373,01049c9a36d13095e245efaaa00934a01980927e6f43742e2c84f789f04d0798
source_data/original_data/MAGE-Graph/output_1146/graph/full_output.json,text-data,132627,c85325d0c21623ed20f8bd0cc3c01627460ecd3cce32b4eae691be5de2415dca
source_data/original_data/MAGE-Graph/output_1147/graph/full_output.json,text-data,92703,cc59e3b2b24b572fe1646a087388168a20b8b1714f7e989ff32231e937acebba
source_data/original_data/MAGE-Graph/output_1148/graph/full_output.json,text-data,64953,153666623e8ff6aba08a517cdca0f09d130043fd8cc1cc72fe2bd5b44c0545a9
